mode,round,scrollMs,textCalls
jump-off,0,2719,35999
jump-off,1,2598,35999
jump-off,2,2529,35999
jump-off,3,2525,35999
jump-off,4,2531,35999
jump-off,5,2549,35999
jump-on,0,2780,35999
jump-on,1,2658,35999
jump-on,2,2517,35999
jump-on,3,2537,35999
jump-on,4,2540,35999
jump-on,5,2545,35999
line-off,0,2690,36000
line-off,1,2577,36000
line-off,2,2560,36000
line-off,3,2576,36000
line-off,4,2550,36000
line-off,5,2500,36000
line-on,0,730,2000
line-on,1,753,2000
line-on,2,635,2000
line-on,3,646,2000
line-on,4,717,2000
line-on,5,684,2000
