"Version","Round","Warmup","Bytes","OpenMs","SearchMs","ScrollMs","PeakWorkingSetBytes"
"baseline","0","True","138420224","210","114","278","345210880"
"current","0","True","138420224","230","187","299","342806528"
"current","1","False","138420224","239","188","296","333156352"
"baseline","1","False","138420224","250","203","279","332210176"
"baseline","2","False","138420224","254","188","280","338460672"
"current","2","False","138420224","265","185","298","334290944"
"current","3","False","138420224","234","186","299","342093824"
"baseline","3","False","138420224","217","183","279","340156416"
"baseline","4","False","138420224","238","187","280","339050496"
"current","4","False","138420224","243","186","289","364617728"
"current","5","False","138420224","259","114","277","345149440"
"baseline","5","False","138420224","270","188","273","341786624"
