"Version","Round","Warmup","Bytes","OpenMs","SearchMs","ScrollMs","PeakWorkingSetBytes","SetValueNs","RepaintNs","EventsNs"
"baseline","0","True","138420224","266","186","2575","355987456","15252800","2543081700","17449200"
"current","0","True","138420224","208","185","2398","340070400","12551600","2373118600","13138300"
"current","1","False","138420224","226","186","2446","352698368","13534900","2417939600","14683300"
"baseline","1","False","138420224","239","187","2477","338784256","14180000","2445726100","17444700"
"baseline","2","False","138420224","245","187","2433","335044608","13377100","2404788900","15032900"
"current","2","False","138420224","262","184","2507","342155264","15478100","2474220900","17578300"
"current","3","False","138420224","261","185","2418","349138944","13784300","2391268400","13848300"
"baseline","3","False","138420224","205","188","2419","344473600","14139400","2389308800","15647300"
"baseline","4","False","138420224","222","190","2534","333680640","15170300","2504300400","14989800"
"current","4","False","138420224","219","187","2433","353079296","14001000","2404567800","15257500"
"current","5","False","138420224","255","114","2427","333025280","13785600","2399452700","14635500"
"baseline","5","False","138420224","252","187","2419","352276480","13878700","2391393600","14119000"
