"Version","Round","Warmup","Bytes","OpenMs","SearchMs","ScrollMs","PeakWorkingSetBytes","SetValueNs","RepaintNs","EventsNs"
"baseline","0","True","138420224","247","186","2384","332455936","13608800","2355207100","15424100"
"current","0","True","138420224","255","187","576","341610496","7763700","556792000","12060700"
"current","1","False","138420224","212","185","582","334114816","8002300","560764800","13586100"
"baseline","1","False","138420224","223","188","2501","340066304","14841500","2469917300","16478400"
"baseline","2","False","138420224","226","185","2385","352313344","13531000","2357592900","14371900"
"current","2","False","138420224","236","186","584","335474688","7788700","563907300","12878100"
"current","3","False","138420224","259","184","575","340869120","7256400","555416600","13060200"
"baseline","3","False","138420224","254","186","2415","343732224","14475300","2386072700","15187100"
"baseline","4","False","138420224","230","185","2398","344469504","14133200","2367236600","16802000"
"current","4","False","138420224","266","186","578","347287552","7774300","558171800","12838000"
"current","5","False","138420224","230","185","584","331558912","8234200","563198800","13463300"
"baseline","5","False","138420224","246","188","2389","353026048","13073900","2359989000","15937700"
