mode,round,scroll,repaint,paint,paintCalls,cache,cacheCalls,fetch,fetchCalls,text,textCalls,blit,blitCalls
off,0,2431,2402132200,0,0,0,0,0,0,0,0,0,0
off,1,2438,2411061900,0,0,0,0,0,0,0,0,0,0
off,2,2445,2415417900,0,0,0,0,0,0,0,0,0,0
off,3,2534,2502373200,0,0,0,0,0,0,0,0,0,0
off,4,2445,2417010400,0,0,0,0,0,0,0,0,0,0
off,5,2413,2387983200,0,0,0,0,0,0,0,0,0,0
on,0,2431,2401946200,2021092200,1000,1981236500,1000,15053500,1000,1647522000,35999,37738300,1000
on,1,2572,2543012500,2161171400,1000,2119652300,1000,14618300,1000,1777229300,35999,39436100,1000
on,2,2463,2433433500,2044144700,1000,2000655200,1000,16011200,1000,1661982100,35999,41055000,1000
on,3,2471,2441207300,2052568200,1000,2012496800,1000,16152200,1000,1670301000,35999,37668800,1000
on,4,2440,2412678900,2034301200,1000,1992922500,1000,14759500,1000,1663252300,35999,39352700,1000
on,5,2426,2399058100,2020149400,1000,1979567900,1000,14374500,1000,1650438900,35999,38527800,1000
original,0,2422,2394884700,,,,,,,,,,
original,1,2444,2418157400,,,,,,,,,,
original,2,2415,2387856800,,,,,,,,,,
original,3,2433,2404501000,,,,,,,,,,
original,4,2423,2394959300,,,,,,,,,,
original,5,2429,2401495300,,,,,,,,,,
