"Version","Round","Warmup","Bytes","OpenMs","SearchMs","ScrollMs","PeakWorkingSetBytes"
"baseline","0","True","138420224","219","112","249","326197248"
"current","0","True","138420224","224","186","252","348450816"
"current","1","False","138420224","241","185","251","343998464"
"baseline","1","False","138420224","247","112","250","336945152"
"baseline","2","False","138420224","249","187","246","337260544"
"current","2","False","138420224","217","114","269","345280512"
"current","3","False","138420224","223","114","269","327397376"
"baseline","3","False","138420224","233","184","251","335589376"
"baseline","4","False","138420224","246","186","261","337006592"
"current","4","False","138420224","280","114","278","342913024"
"current","5","False","138420224","262","183","257","331993088"
"baseline","5","False","138420224","210","185","250","337117184"
