"Version","Round","Warmup","Bytes","OpenMs","SearchMs","ScrollMs","PeakWorkingSetBytes","SetValueNs","RepaintNs","EventsNs"
"baseline","0","True","138420224","234","188","2413","333766656","12947800","2385923100","14745900"
"current","0","True","138420224","241","185","2418","342450176","12372900","2391489900","15018200"
"current","1","False","138420224","262","188","2397","335032320","11328800","2371695400","13991600"
"baseline","1","False","138420224","261","187","2430","353521664","13452600","2401332600","15459000"
"baseline","2","False","138420224","209","189","2408","351215616","12187700","2381927200","14483900"
"current","2","False","138420224","214","113","2427","348794880","12658300","2399810600","14705500"
"current","3","False","138420224","220","188","2421","341061632","12395500","2394323000","14743800"
"baseline","3","False","138420224","249","189","2415","344539136","12371500","2388433900","15013200"
"baseline","4","False","138420224","257","186","2516","338587648","14209000","2485540800","16394700"
"current","4","False","138420224","259","184","2392","334565376","10421100","2367203400","14421200"
"current","5","False","138420224","219","185","2419","347922432","12375600","2392961800","14240900"
"baseline","5","False","138420224","214","189","2421","337440768","12862300","2393519300","15033300"
