mode,round,scrollMs,paintNs,paintCalls,cacheNs,cacheCalls,fetchNs,fetchCalls,textNs,textCalls,blitNs,blitCalls
jump,0,2407,1997177200,1000,1956304300,1000,14617500,1000,1626204400,35999,38794000,1000
jump,1,2509,2096802900,1000,2055579000,1000,14329800,1000,1705273200,35999,39231100,1000
jump,2,2453,2036370200,1000,1995766100,1000,15645200,1000,1657831600,35999,38442900,1000
jump,3,2433,2020594800,1000,1980056500,1000,14611900,1000,1645730300,35999,38427000,1000
jump,4,2391,1985206200,1000,1943401500,1000,14290000,1000,1616964800,35999,39760200,1000
jump,5,2413,2003129400,1000,1960729400,1000,14838600,1000,1629455900,35999,40257700,1000
line,0,2365,1958883500,1000,1918761800,1000,9492500,1000,1627816700,36000,38080200,1000
line,1,2365,1960230000,1000,1918623200,1000,9000500,1000,1627920300,36000,39651400,1000
line,2,2392,1979874600,1000,1937251500,1000,9700200,1000,1642396200,36000,40560800,1000
line,3,2410,1993057600,1000,1949658600,1000,9777200,1000,1651153000,36000,41185600,1000
line,4,2444,2012069400,1000,1962419000,1000,11528200,1000,1646954100,36000,47298900,1000
line,5,2357,1953541300,1000,1913463300,1000,9032200,1000,1624045900,36000,38014000,1000
still,0,256,39046800,1000,0,0,0,0,0,0,38258700,1000
still,1,254,36113200,1000,0,0,0,0,0,0,35289800,1000
still,2,260,37687400,1000,0,0,0,0,0,0,36822700,1000
still,3,305,64867600,1000,0,0,0,0,0,0,63865800,1000
still,4,253,37474700,1000,0,0,0,0,0,0,36684000,1000
still,5,255,36334900,1000,0,0,0,0,0,0,35481100,1000
